post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47629485,A case study in testing with 100+ Claude agents in parallel,science,63,49,thejash,2026-04-06 11:28:02,0.765625,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-06 11:28:02,0.14634146341463414,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-06 11:28:02,0.17142857142857143,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,27,3,salt4034,2026-04-06 11:28:02,0.10714285714285714,False
47648226,SpaceX and OpenAI: The Mega IPO Grift [video],science,25,10,throw0101c,2026-04-06 11:28:02,0.38461538461538464,False
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-06 11:28:02,0.9444444444444444,False
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,14,10,bookmtn,2026-04-06 11:28:02,0.6666666666666666,False
47645926,The Spaceballs sequel will be released in April next year,science,8,1,WaitWaitWha,2026-04-06 11:28:02,0.1111111111111111,False
47654226,Trump proposes steep cut to NASA budget as astronauts head for the Moon,science,7,0,rbanffy,2026-04-06 11:28:02,0.0,False
47656678,"Musk asks SpaceX IPO banks to buy Grok AI subscriptions, NYT reports",science,6,0,1vuio0pswjnm7,2026-04-06 11:28:02,0.0,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,781,365,hkmaxpro,2026-04-06 11:27:39,0.46675191815856776,True
47637377,LÖVE: 2D Game Framework for Lua,sports,252,99,cl3misch,2026-04-06 11:27:39,0.391304347826087,True
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,215,143,pseudolus,2026-04-06 11:27:39,0.6620370370370371,True
